comunidad_autonoma;cine_si;cine_no_puede;cine_no;directos_si;directos_no_puede;directos_no;culturales_si;culturales_no_puede;culturales_no;deportivos_si;deportivos_no_puede;deportivos_no
Andalucía;32.7;11.3;56;28;14.9;57.1;33.7;11.8;54.5;21.6;10.2;68.2
Aragón;38.7;5.5;55.8;33.1;8.9;58.1;45.4;6.3;48.3;29.8;4.6;65.6
Asturias. Principado de;29.5;4.6;65.9;28.8;5.8;65.4;38.5;3.5;58.1;27.3;3;69.7
Balears. Illes;34.9;7;58.1;29.8;9.7;60.6;37.7;7.3;55;27.3;6.5;66.2
Canarias;28.1;9.1;62.8;23;13;64;26.5;10.2;63.3;22.5;6.6;70.8
Cantabria;34.8;5.3;59.9;28.7;7.8;63.5;39.1;6.2;54.6;29.6;3.9;66.5
Castilla y León;31.4;5.2;63.4;31.8;8.3;59.9;41.5;5.9;52.5;23.6;4.6;71.8
Castilla - La Mancha;33.6;8.6;57.8;32.1;11.7;56.2;36.5;9;54.5;23.7;8.2;68.1
Cataluña;41.4;7.7;51;37.1;11.5;51.4;42;8.1;49.9;25.6;7.2;67.1
Comunitat Valenciana;36.7;6.8;56.5;31.3;10.1;58.6;37.5;8;54.5;22.5;6.7;70.8
Extremadura;30.3;8.9;60.8;29.7;12.1;58.2;35.4;10.1;54.5;23.2;7.5;69.3
Galicia;29.1;6.8;64.1;27.7;9.1;63.2;33.6;6.9;59.5;25.4;5.3;69.3
Madrid. Comunidad de;48.5;6.4;45.1;40.9;10.4;48.7;51.1;6.2;42.8;23.4;7.6;69
Murcia. Región de;35.2;8.1;56.8;26.5;12.4;61.1;30.7;11.4;57.9;20.8;8.8;70.5
Navarra. Comunidad Foral de;40.4;5.7;53.9;38.5;7.4;54.2;43.6;5.4;51;33.9;3.5;62.6
País Vasco;35.7;3.7;60.6;38.5;5.4;56.1;43;4.6;52.5;35.5;3.4;61.2
Rioja. La;36.6;3.8;59.7;34.8;6;59.2;44.9;5.3;49.8;29;3.7;67.3
Ceuta;28.1;11.9;60.1;23.2;14.4;62.5;27.1;11.5;61.4;24.3;9.9;65.9
Melilla;35.9;9.6;54.5;30.8;12.2;56.9;34.6;10.3;55.1;35.6;7.3;57.1