comunidad_autonoma;homicidios_por_100mhabit;criminalidad_por_1000habit
Andalucía;0.822030225;47.97809813
Aragón;0.667553771;37.77007665
Asturias. Principado de;0.594025294;33.65407056
Balears. Illes;0.645779989;64.13940101
Canarias;0.756856676;46.81925384
Cantabria;0;41.07536988
Castilla y León;0.418353853;37.6376571
Castilla - La Mancha;0.711770791;39.98095235
Cataluña;0.880000198;63.94255433
Comunitat Valenciana;0.634410145;54.52710503
Extremadura;0.380263922;33.47392718
Galicia;0.664954286;35.10290743
Madrid. Comunidad de;0.467551832;59.29031943
Murcia. Región de;0.952277562;47.55775658
Navarra. Comunidad Foral de;0.881969025;51.97678862
País Vasco;0.268659644;48.53422351
Rioja. La;0.922327709;37.56994899
Ceuta;5.996210395;42.65751114
Melilla;0;50.98052981