comunidad_autonoma;0-4_anos;5-9_anos;10-14_anos;15-19_anos;20-24_anos;25-29_anos;30-34_anos;35-39_anos;40-44_anos;45-49_anos;50-54_anos;55-59_anos;60-64_anos;65-69_anos;70-74_anos;75-79_anos;80-84_anos;85-89_anos;90-94_anos;95-99_anos;mayor_100_anos
Andalucía;345555;423786;484477;477131;453539;468002;511105;577191;683756;698517;669072;633113;547955;438137;367290;301419;200271;144390;59384;13172;2925
Aragón;49782;61253;67610;65311;64832;66442;71681;82576;102772;109283;103377;98729;89733;74669;65322;55970;38918;35213;17595;4559;688
Asturias. Principado de;27021;35383;41670;40379;38823;38904;44785;58462;77593;85750;81042;80773;81245;72662;63599;51379;33460;31394;15568;4108;686
Balears. Illes;49246;57466;62293;60567;62032;71554;82078;90451;102842;103421;92463;81491;68470;55921;47553;37543;23807;17379;7733;2022;327
Canarias;70074;89912;104627;113425;119019;128943;141041;153551;181074;196473;190952;175673;140070;113101;91583;72734;45620;33106;12940;3013;770
Cantabria;18780;24625;29112;28342;25770;25282;28772;36337;47721;50120;46775;44900;43801;37234;32303;24500;16553;14730;7393;2034;318
Castilla y León;71922;92799;104905;104619;104599;104524;113729;136025;170221;184752;188069;191966;182409;153172;133966;116110;85092;78685;41110;12082;1884
Castilla - La Mancha;79665;101137;113688;110219;108732;109462;118307;135324;163807;167547;160774;153535;135624;102525;88054;72720;55276;47033;23242;5802;855
Cataluña;310576;380332;428860;419813;409002;436769;471798;522814;637313;667937;596101;538142;471359;399794;356451;292278;196845;158718;75057;19816;2836
Comunitat Valenciana;191146;240500;276521;270720;258579;263282;285632;329604;415622;431952;404948;375698;335542;280503;248588;200662;139243;95850;41695;10093;1587
Extremadura;38079;45817;52544;52817;54000;55720;60923;66404;76036;80577;83013;85437;76686;59015;50320;43286;30655;27972;12031;2962;482
Galicia;82826;104468;117452;114094;111093;117134;133664;163792;214218;225890;213318;199451;190434;169539;155698;139592;97054;87711;40289;10708;2039
Madrid. Comunidad de;275142;333181;363490;352011;351780;388911;421464;470648;557571;588892;530482;475944;404511;329303;294514;242218;163620;126636;60952;16451;2615
Murcia. Región de;72239;85055;93554;90398;88001;87601;93937;104737;128616;127847;117358;105976;89720;68983;59387;46825;34150;24445;10497;2278;274
Navarra. Comunidad Foral de;27474;34001;37013;36210;35849;34367;35432;41020;51436;54970;51675;47869;42185;35340;31325;26473;17410;14546;7196;2048;278
País Vasco;78295;99873;110110;107533;103087;102484;109665;131710;167783;184538;173881;169754;156944;133219;119549;100442;67431;57153;26971;6864;888
Rioja. La;12275;15233;16995;16369;15527;15024;16862;20030;25588;26885;24931;23411;21911;17934;15605;13171;8980;8012;3915;1091;143
Ceuta;4314;5487;6032;5745;5606;5346;5502;5755;6219;6239;5771;5738;4971;3516;2367;1913;1283;844;365;81;23
Melilla;5357;6603;6420;5896;6163;5888;5558;5897;6207;5592;5677;5435;4963;3434;2153;1664;1118;728;322;74;21