comunidad_autonoma;muy_a_menudo;algunas_veces;nunca
Andalucía;64.7;33.4;2
Aragón;70.3;28.7;1
Asturias. Principado de;63.4;34.3;2.4
Balears. Illes;69.5;28.7;1.8
Canarias;70.8;27.8;1.4
Cantabria;65.2;32.7;2.1
Castilla y León;67.1;30.9;2
Castilla - La Mancha;66.7;31.2;2
Cataluña;68;29.7;2.3
Comunitat Valenciana;68.4;29.3;2.2
Extremadura;67.9;30.5;1.6
Galicia;66;32.1;2
Madrid. Comunidad de;69;29.3;1.7
Murcia. Región de;64.2;33.4;2.4
Navarra. Comunidad Foral de;72.7;25.9;1.4
País Vasco;64.4;34.2;1.4
Rioja. La;71.1;27.4;1.5
Ceuta;66.8;30.2;3
Melilla;72.3;25.4;2.4